SEASON,STATISTIC,PEARSON_CORRELATION,PEARSON_CORRELATION_ABS,SPEARMAN_CORRELATION,SPEARMAN_CORRELATION_ABS,PEARSON_CORRELATION_RANK,SPEARMAN_CORRELATION_RANK,AVERAGE_RANK
2016-2017,PER100_DRB,0.3747037872187653,0.3747037872187653,0.3711478338543993,0.3711478338543993,47,46,46.5
2016-2017,OPP_FG%_3-10,-0.3445842359054241,0.3445842359054241,-0.34660447624933544,0.34660447624933544,49,49,49.0
2016-2017,OPP_%FGA_3-10,0.3311156270802496,0.3311156270802496,0.3504686456015702,0.3504686456015702,53,48,50.5
2016-2017,%FGA_DUNKS,0.3779076781061278,0.3779076781061278,0.25658484699705636,0.25658484699705636,46,55,50.5
2016-2017,AVERAGE_DISTANCE,0.3166878587070773,0.3166878587070773,0.37035853497503163,0.37035853497503163,55,47,51.0
2016-2017,ATTENDANCE/G,0.3315981636024521,0.3315981636024521,0.2737105101751533,0.2737105101751533,52,52,52.0
2016-2017,OPP_PER100_3P,-0.33963518400873255,0.33963518400873255,-0.26213596313606646,0.26213596313606646,50,54,52.0
2016-2017,TOTAL_ATTENDANCE,0.3285068277505326,0.3285068277505326,0.2737105101751533,0.2737105101751533,54,53,53.5
2016-2017,DUNKS_MADE,0.38363926837041934,0.38363926837041934,0.24565353373219628,0.24565353373219628,45,63,54.0
2016-2017,OPP_PER100_PF,0.24524940097240572,0.24524940097240572,0.34363842710045084,0.34363842710045084,66,50,58.0
2016-2017,%FGA_2P,-0.30179241195099576,0.30179241195099576,-0.25448703504330356,0.25448703504330356,59,57,58.0
2016-2017,PER100_3PA,0.31518268229619056,0.31518268229619056,0.2521461556145215,0.2521461556145215,56,61,58.5
2016-2017,%ASTD_2P,0.3386533823885393,0.3386533823885393,0.22882336876234075,0.22882336876234075,51,67,59.0
2016-2017,PER100_2PA,-0.2704750091977688,0.2704750091977688,-0.25504438728825163,0.25504438728825163,63,56,59.5
2016-2017,3PA_RATE,0.3017924119509956,0.3017924119509956,0.25448703504330356,0.25448703504330356,61,58,59.5
2016-2017,%FGA_3P,0.3017924119509956,0.3017924119509956,0.25448703504330356,0.25448703504330356,60,59,59.5
2016-2017,PER100_FTA,0.22039669297572492,0.22039669297572492,0.2859056975254299,0.2859056975254299,69,51,60.0
2016-2017,PER100_STL,0.30886318701962373,0.30886318701962373,0.24136782442747767,0.24136782442747767,58,65,61.5
2016-2017,HEAVE_MAKES,0.2743246150049548,0.2743246150049548,0.24730369828585466,0.24730369828585466,62,62,62.0
2016-2017,%FGA3P_CORNER,0.234601890663466,0.234601890663466,0.2540128871940451,0.2540128871940451,67,60,63.5
2016-2017,DEFENSIVE_FT/FGA,-0.2533211622402222,0.2533211622402222,-0.22301536468442265,0.22301536468442265,64,70,67.0
2016-2017,OPP_DUNKS_MADE,-0.20774258760665495,0.20774258760665495,-0.2402723005561675,0.2402723005561675,73,66,69.5
2016-2017,FT_RATE,0.19716813521753287,0.19716813521753287,0.2455672640608226,0.2455672640608226,75,64,69.5
2016-2017,PER100_TRB,0.2121219787926659,0.2121219787926659,0.22508652092185868,0.22508652092185868,71,68,69.5
2016-2017,OPP_PER100_FT,-0.24694463947123405,0.24694463947123405,-0.21751265840809175,0.21751265840809175,65,74,69.5
2016-2017,PER100_BLK,0.31018144041811707,0.31018144041811707,0.1838489994869957,0.1838489994869957,57,85,71.0
2016-2017,OPP_%FGA_DUNKS,-0.21110877611221665,0.21110877611221665,-0.222895361407746,0.222895361407746,72,71,71.5
2016-2017,OPP_PER100_FTA,-0.23114845466505177,0.23114845466505177,-0.20796182756822412,0.20796182756822412,68,78,73.0
2016-2017,PER100_FT,0.20046630184557138,0.20046630184557138,0.21362493172418417,0.21362493172418417,74,76,75.0
2016-2017,OFFENSIVE_FT/FGA,0.18570384917608754,0.18570384917608754,0.22477680811312375,0.22477680811312375,81,69,75.0
2016-2017,PER100_TOV,-0.19560312130383242,0.19560312130383242,-0.21694010742295156,0.21694010742295156,76,75,75.5
2016-2017,OPP_PER100_TOV,0.19349746404404167,0.19349746404404167,0.2128752183293469,0.2128752183293469,79,77,78.0
2016-2017,PER100_PF,-0.21397726739591133,0.21397726739591133,-0.15374321323786164,0.15374321323786164,70,88,79.0
2016-2017,OPP_PER100_ORB,0.19351477209060516,0.19351477209060516,0.19841361602983484,0.19841361602983484,78,80,79.0
2016-2017,OPP_FG%_10-16,-0.1940592511622702,0.1940592511622702,-0.19797023243426887,0.19797023243426887,77,81,79.0
2016-2017,OPP_FG%_0-3,-0.19000401408156742,0.19000401408156742,-0.19759161311039847,0.19759161311039847,80,82,81.0
2016-2017,OPP_LAYUPS_MADE,-0.12248753275571986,0.12248753275571986,-0.22240829764552028,0.22240829764552028,94,72,83.0
2016-2017,DEFENSIVE_TOV%,0.16109846284405663,0.16109846284405663,0.20033524054848145,0.20033524054848145,87,79,83.0
